,ID,Operacao,Emissao,CNPJ,Cliente,MWh,Unidade,Total
0,NFe26230521185644000252550010000000131221207615,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:04:02-03:00,33050071000158,AMPLA ENERGIA E SERVICOS S.A.,462.1713,134.989982,62388.50
1,NFe26230521185644000252550010000000141023932973,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:05:43-03:00,02302100000106,EDP SAO PAULO DISTRIBUICAO DE ENERGIA S.A.,125.1753,134.990014,16897.42
2,NFe26230521185644000252550010000000151388811944,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:07:17-03:00,05965546000109,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,255.1673,134.990007,34445.04
3,NFe26230521185644000252550010000000161758873792,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:08:36-03:00,12272084000100,COMPANHIA ENERGETICA DE ALAGOAS - CEAL,97.2993,134.990031,13134.44
4,NFe26230521185644000252550010000000171168838171,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:12:17-03:00,08467115000100,COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEE,131.3540,134.990027,17731.48
5,NFe26230521185644000252550010000000181705678833,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:30:40-03:00,01543032000104,CELG DISTRIBUICAO S.A.,350.7633,134.989993,47349.54
6,NFe26230521185644000252550010000000191733975011,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:32:27-03:00,04895728000180,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.,229.1880,134.989965,30938.08
7,NFe26230521185644000252550010000000201654150452,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:34:13-03:00,10835932000108,COMPANHIA ENERGETICA DE PERNAMBUCO,58.3793,134.989894,7880.62
8,NFe26230521185644000252550010000000211552301785,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:16:43-03:00,06272793000184,EQUATORIAL MARANHAO DISTRIBUIDORA DE ENERGIA S.A,260.7127,134.989989,35193.60
9,NFe26230521185644000252550010000000221024214987,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:38:54-03:00,06981180000116,CEMIG DISTRIBUICAO S.A.,637.3093,134.989989,86030.38
10,NFe26230521185644000252550010000000231169171208,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:13:17-03:00,06840748000189,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,155.6787,134.989979,21015.06
11,NFe26230521185644000252550010000000241403739160,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:41:33-03:00,15139629000194,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA,608.1200,134.990002,82090.12
12,NFe26230521185644000252550010000000251553982351,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:44:12-03:00,07047251000170,COMPANHIA ENERGETICA DO CEARA,211.6260,134.99003,28567.40
13,NFe26230521185644000252550010000000261726443039,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:55:44-03:00,04368898000106,COPEL DISTRIBUICAO S.A.,583.7953,134.990014,78806.54
14,NFe26230521185644000252550010000000271890108953,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:14:28-03:00,08324196000181,COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE COSERN,131.3540,134.990027,17731.48
15,NFe26230521185644000252550010000000281297167617,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:58:12-03:00,02328280000197,ELEKTRO REDES S.A.,535.1460,134.990003,72239.36
16,NFe26230521185644000252550010000000291613982750,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T12:59:13-03:00,19527639000158,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A.,51.8120,134.989964,6994.10
17,NFe26230521185644000252550010000000301998311739,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:01:13-03:00,15413826000150,ENERGISA MATO GROSSO DO SUL-DISTRIBUIDORA DE ENERGIA S.A.,147.7000,134.98998,19938.02
18,NFe26230521185644000252550010000000311587605361,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:02:35-03:00,03467321000199,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,455.3600,134.989986,61469.04
19,NFe26230521185644000252550010000000321527093850,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:03:37-03:00,09095183000140,ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S.A.,113.3047,134.990027,15295.00
20,NFe26230521185644000252550010000000331058189547,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:15:35-03:00,05914650000166,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S.A,330.8173,134.990025,44657.04
21,NFe26230521185644000252550010000000341487384683,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:05:36-03:00,13017462000163,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A.,80.3693,134.990046,10849.06
22,NFe26230521185644000252550010000000351476797385,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:07:21-03:00,25086034000171,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.,71.2227,134.989891,9614.34
23,NFe26230521185644000252550010000000361556646275,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:08:24-03:00,28152650000171,EDP ESPIRITO SANTO DISTRIBUICAO DE ENERGIA S.A.,325.4660,134.990014,43934.66
24,NFe26230521185644000252550010000000371992585064,Venda de Energia Eletrica para Distribuicao/Comercializacao,2023-05-16T13:10:02-03:00,02016440000162,RGE SUL DISTRIBUIDORA DE ENERGIA S.A.,262.7080,134.990027,35462.96
